,Unnamed: 0,LONGITUDE,LATITUDE,DATE_START,DATE_END,FLAG,EQ_NUM,SURFSKINTEMP,SURFAIRTEMP,TOTH2OVAP,TOTO3,TOTCO,TOTCH4,OLR_ARIS,CLROLR_ARIS,OLR_NOAA,MODIS_LST,LABEL_PREDICTION
8155,Fold3.172281,-47.5,35.5,2013-05-04,2013-05-08,0,65,8,10,3,6,12,10,1,1,5,3,1
8156,Fold3.172291,-47.5,35.5,2013-05-09,2013-05-13,0,65,4,7,1,12,12,5,6,6,6,3,0
8157,Fold3.172301,-47.5,35.5,2013-05-14,2013-05-18,0,65,7,7,1,12,9,8,12,12,8,3,0
8158,Fold3.172311,-47.5,35.5,2013-05-19,2013-05-23,0,65,9,7,9,17,3,8,1,1,5,3,1
8159,Fold3.172321,-47.5,35.5,2013-05-24,2013-05-28,0,65,8,3,5,2,13,6,8,8,8,3,0
8160,Fold3.172331,-47.5,36.5,2013-04-29,2013-05-03,0,65,10,4,1,1,10,8,8,8,12,3,1
8161,Fold3.172341,-47.5,36.5,2013-05-04,2013-05-08,0,65,8,10,9,3,12,8,8,8,5,3,0
8162,Fold3.172351,-47.5,36.5,2013-05-09,2013-05-13,0,65,10,7,1,9,15,2,4,4,6,3,0
8163,Fold3.172361,-47.5,36.5,2013-05-14,2013-05-18,0,65,7,1,2,12,9,5,11,11,4,3,0
8164,Fold3.172371,-47.5,36.5,2013-05-19,2013-05-23,0,65,8,7,9,3,13,8,1,1,6,3,0
8165,Fold3.172381,-47.5,36.5,2013-05-24,2013-05-28,0,65,8,1,5,13,3,1,7,7,10,3,1
8166,Fold3.172391,-47.5,37.5,2013-04-29,2013-05-03,0,65,10,4,1,1,10,2,9,9,12,3,0
8167,Fold3.172401,-47.5,37.5,2013-05-04,2013-05-08,0,65,9,4,9,17,12,8,12,12,5,3,0
8168,Fold3.172411,-47.5,37.5,2013-05-09,2013-05-13,0,65,10,7,1,8,15,1,5,5,9,3,0
8169,Fold3.172421,-47.5,37.5,2013-05-14,2013-05-18,0,65,1,1,2,12,9,6,6,2,4,3,0
8170,Fold3.172431,-47.5,37.5,2013-05-19,2013-05-23,0,65,7,7,1,1,13,8,9,9,5,3,0
8171,Fold3.172441,-47.5,37.5,2013-05-24,2013-05-28,0,65,8,3,5,6,3,1,7,7,10,3,0
8172,Fold3.172451,-48.5,32.5,2013-04-29,2013-05-03,0,65,1,1,7,14,2,11,2,2,9,3,1
8173,Fold3.172461,-48.5,32.5,2013-05-04,2013-05-08,0,65,7,5,11,8,12,1,2,2,5,3,0
8174,Fold3.172471,-48.5,32.5,2013-05-09,2013-05-13,0,65,10,4,9,8,12,2,4,4,9,3,0
8175,Fold3.172481,-48.5,32.5,2013-05-14,2013-05-18,0,65,10,7,9,12,7,2,10,10,3,3,1
8176,Fold3.172491,-48.5,32.5,2013-05-19,2013-05-23,0,65,10,7,1,3,9,3,9,9,7,3,0
8177,Fold3.172501,-48.5,32.5,2013-05-24,2013-05-28,0,65,9,3,12,13,3,5,7,7,7,3,0
8178,Fold3.172511,-48.5,33.5,2013-04-29,2013-05-03,0,65,1,3,5,14,10,9,2,11,11,3,1
8179,Fold3.172521,-48.5,33.5,2013-05-04,2013-05-08,0,65,7,5,11,17,12,6,2,2,5,3,0
8180,Fold3.172531,-48.5,33.5,2013-05-09,2013-05-13,0,65,10,7,1,7,15,2,12,12,6,3,0
8181,Fold3.172541,-48.5,33.5,2013-05-14,2013-05-18,0,65,5,7,9,12,7,2,10,10,7,3,0
8182,Fold3.172551,-48.5,33.5,2013-05-19,2013-05-23,0,65,2,9,10,3,9,3,1,1,5,3,1
8183,Fold3.172561,-48.5,33.5,2013-05-24,2013-05-28,0,65,3,3,12,13,2,5,7,7,8,3,1
8184,Fold3.172571,-48.5,34.5,2013-04-29,2013-05-03,0,65,9,4,1,14,10,8,8,8,12,3,1
8185,Fold3.172581,-48.5,34.5,2013-05-04,2013-05-08,0,65,4,9,11,6,16,3,3,3,5,3,1
8186,Fold3.172591,-48.5,34.5,2013-05-09,2013-05-13,0,65,10,5,2,13,12,1,4,4,6,3,0
8187,Fold3.172601,-48.5,34.5,2013-05-14,2013-05-18,0,65,2,7,1,12,9,2,12,12,8,3,0
8188,Fold3.172611,-48.5,34.5,2013-05-19,2013-05-23,0,65,2,6,8,3,3,8,3,3,5,3,1
8189,Fold3.172621,-48.5,34.5,2013-05-24,2013-05-28,0,65,8,5,11,13,3,4,1,1,8,3,1
8190,Fold3.172631,-48.5,35.5,2013-04-29,2013-05-03,0,65,10,4,9,1,16,2,3,3,12,3,1
8191,Fold3.172641,-48.5,35.5,2013-05-04,2013-05-08,0,65,8,2,10,6,16,10,3,3,5,3,0
8192,Fold3.172651,-48.5,35.5,2013-05-09,2013-05-13,0,65,10,5,11,9,12,1,2,2,6,3,1
8193,Fold3.172661,-48.5,35.5,2013-05-14,2013-05-18,0,65,9,7,1,12,9,8,4,4,8,3,1
8194,Fold3.172671,-48.5,35.5,2013-05-19,2013-05-23,0,65,9,2,10,3,13,8,3,3,5,3,0
8195,Fold3.172681,-48.5,35.5,2013-05-24,2013-05-28,0,65,8,5,11,13,3,6,1,1,8,3,1
8196,Fold3.172691,-48.5,36.5,2013-04-29,2013-05-03,0,65,10,4,1,1,10,8,12,12,12,3,0
8197,Fold3.172701,-48.5,36.5,2013-05-04,2013-05-08,0,65,2,10,3,3,12,3,1,1,5,3,0
8198,Fold3.172711,-48.5,36.5,2013-05-09,2013-05-13,0,65,10,9,10,9,15,1,5,5,6,3,1
8199,Fold3.172721,-48.5,36.5,2013-05-14,2013-05-18,0,65,9,7,1,2,9,2,2,2,8,3,1
8200,Fold3.172731,-48.5,36.5,2013-05-19,2013-05-23,0,65,9,6,10,3,5,8,3,3,5,3,0
8201,Fold3.172741,-48.5,36.5,2013-05-24,2013-05-28,0,65,2,5,11,13,3,1,1,9,10,3,0
8202,Fold3.172751,-48.5,37.5,2013-04-29,2013-05-03,0,65,4,4,1,1,10,8,8,8,3,3,0
8203,Fold3.172761,-48.5,37.5,2013-05-04,2013-05-08,0,65,5,4,9,3,15,2,7,7,5,3,1
8204,Fold3.172771,-48.5,37.5,2013-05-09,2013-05-13,0,65,10,1,2,8,12,1,5,5,9,3,1
8205,Fold3.172781,-48.5,37.5,2013-05-14,2013-05-18,0,65,9,7,3,2,9,2,4,4,4,3,0
8206,Fold3.172791,-48.5,37.5,2013-05-19,2013-05-23,0,65,9,6,1,3,4,8,1,1,5,3,0
8207,Fold3.172801,-48.5,37.5,2013-05-24,2013-05-28,0,65,8,5,11,13,9,1,11,11,10,3,0
8208,Fold3.172811,-49.5,32.5,2013-04-29,2013-05-03,0,65,4,7,1,14,10,9,2,2,9,3,1
8209,Fold3.172821,-49.5,32.5,2013-05-04,2013-05-08,0,65,7,5,11,8,12,6,4,4,7,3,0
8210,Fold3.172831,-49.5,32.5,2013-05-09,2013-05-13,0,65,9,7,1,9,12,1,5,5,6,3,0
8211,Fold3.172841,-49.5,32.5,2013-05-14,2013-05-18,0,65,9,7,9,12,7,8,10,10,7,3,1
8212,Fold3.172851,-49.5,32.5,2013-05-19,2013-05-23,0,65,10,2,10,4,9,3,9,9,7,3,1
8213,Fold3.172861,-49.5,32.5,2013-05-24,2013-05-28,0,65,9,5,11,13,3,1,2,2,8,3,0
8214,Fold3.172871,-49.5,33.5,2013-04-29,2013-05-03,0,65,4,7,1,14,16,5,3,3,11,3,1
8215,Fold3.172881,-49.5,33.5,2013-05-04,2013-05-08,0,65,7,5,11,8,12,6,4,4,7,3,0
8216,Fold3.172891,-49.5,33.5,2013-05-09,2013-05-13,0,65,10,4,9,13,15,1,5,5,6,3,1
8217,Fold3.172901,-49.5,33.5,2013-05-14,2013-05-18,0,65,9,7,9,10,11,8,3,3,8,3,0
8218,Fold3.172911,-49.5,33.5,2013-05-19,2013-05-23,0,65,4,2,10,3,9,3,1,1,5,3,0
